,0
0,Arizona
1,Arkansas
2,Connecticut
3,Delaware
4,Georgia
5,Idaho
6,Illinois
7,Indiana
8,Kansas
9,Kentucky
10,Louisiana
11,Maine
12,Maryland
13,Massachusetts
14,Michigan
15,Minnesota
16,Mississippi
17,Missouri
18,Nebraska
19,New Hampshire
20,New Jersey
21,New Mexico
22,North Carolina
23,North Dakota
24,Oklahoma
25,Pennsylvania
26,Rhode Island
27,South Carolina
28,South Dakota
29,Tennessee
30,Utah
31,Vermont
32,Virginia
33,West Virginia
34,Wisconsin
35,Wyoming
